,FPR,FNR,TPR,"min(FPR,FNR)",min_constant,max_constant
261,0.038416665,0.54981667,0.45018333,0.038416665,-0.4999689,-0.49996877
262,0.03842037,0.5498,0.45020002,0.03842037,-0.49996877,-0.49996865
263,0.038422223,0.54978335,0.45021665,0.038422223,-0.49996865,-0.49996853
264,0.038424075,0.54976666,0.45023334,0.038424075,-0.49996853,-0.4999684
265,0.03843148,0.54976666,0.45023334,0.03843148,-0.4999684,-0.4999683
266,0.038435183,0.54976666,0.45023334,0.038435183,-0.4999683,-0.49996805
267,0.03843889,0.54975,0.45025003,0.03843889,-0.49996805,-0.49996793
268,0.038444445,0.54971665,0.45028335,0.038444445,-0.49996793,-0.4999678
269,0.03845185,0.5497,0.45029998,0.03845185,-0.4999678,-0.4999677
270,0.038455557,0.5497,0.45029998,0.038455557,-0.4999677,-0.49996758
271,0.03846111,0.54968333,0.45031667,0.03846111,-0.49996758,-0.49996746
272,0.038466666,0.54966664,0.45033336,0.038466666,-0.49996746,-0.49996734
273,0.038474075,0.54965,0.45035,0.038474075,-0.49996734,-0.49996722
274,0.03847963,0.5496333,0.45036668,0.03847963,-0.49996722,-0.4999671
275,0.038483333,0.5496167,0.4503833,0.038483333,-0.4999671,-0.49996698
276,0.038488887,0.5496167,0.4503833,0.038488887,-0.49996698,-0.49996686
277,0.038494445,0.5496,0.4504,0.038494445,-0.49996686,-0.49996674
278,0.0385,0.5496,0.4504,0.0385,-0.49996674,-0.49996662
279,0.038505554,0.5495,0.4505,0.038505554,-0.49996662,-0.4999665
280,0.038507406,0.54948336,0.45051664,0.038507406,-0.4999665,-0.49996626
281,0.038512964,0.54946667,0.45053333,0.038512964,-0.49996626,-0.49996614
282,0.038514815,0.54945,0.45055002,0.038514815,-0.49996614,-0.49996603
283,0.03851852,0.54945,0.45055002,0.03851852,-0.49996603,-0.4999659
284,0.03851852,0.54941666,0.45058334,0.03851852,-0.4999659,-0.4999658
285,0.038524073,0.54938334,0.45061666,0.038524073,-0.4999658,-0.49996567
286,0.03852778,0.54938334,0.45061666,0.03852778,-0.49996567,-0.49996555
287,0.038533334,0.54936665,0.45063335,0.038533334,-0.49996555,-0.49996543
288,0.038535185,0.54936665,0.45063335,0.038535185,-0.49996543,-0.4999653
289,0.038538888,0.54935,0.45064998,0.038538888,-0.4999653,-0.4999652
290,0.03854074,0.54935,0.45064998,0.03854074,-0.4999652,-0.49996507
291,0.038546298,0.54935,0.45064998,0.038546298,-0.49996507,-0.49996495
292,0.038551852,0.54935,0.45064998,0.038551852,-0.49996495,-0.49996483
293,0.038562965,0.54935,0.45064998,0.038562965,-0.49996483,-0.4999646
294,0.03856852,0.54933333,0.45066667,0.03856852,-0.4999646,-0.49996448
295,0.038574073,0.54931664,0.45068336,0.038574073,-0.49996448,-0.49996436
296,0.038577776,0.5493,0.45069999,0.038577776,-0.49996436,-0.49996424
297,0.038583335,0.5492833,0.45071667,0.038583335,-0.49996424,-0.49996412
298,0.038587037,0.5492333,0.45076668,0.038587037,-0.49996412,-0.499964
299,0.038592592,0.5492333,0.45076668,0.038592592,-0.499964,-0.49996388
300,0.038601853,0.5492,0.4508,0.038601853,-0.49996388,-0.49996376
301,0.03861296,0.5492,0.4508,0.03861296,-0.49996376,-0.49996364
302,0.03862037,0.5492,0.4508,0.03862037,-0.49996364,-0.4999634
303,0.038627777,0.5491667,0.45083332,0.038627777,-0.4999634,-0.49996328
304,0.03863148,0.54915,0.45085,0.03863148,-0.49996328,-0.49996316
305,0.03864074,0.5491167,0.45088333,0.03864074,-0.49996316,-0.49996305
306,0.038644444,0.5491167,0.45088333,0.038644444,-0.49996305,-0.49996293
307,0.03865,0.54908335,0.45091665,0.03865,-0.49996293,-0.4999628
308,0.03866111,0.54906666,0.45093334,0.03866111,-0.4999628,-0.4999627
309,0.038664814,0.54905,0.45095003,0.038664814,-0.4999627,-0.49996257
310,0.038668517,0.54903334,0.45096666,0.038668517,-0.49996257,-0.49996245
311,0.038670372,0.54903334,0.45096666,0.038670372,-0.49996245,-0.4999622
312,0.038677778,0.549,0.45099998,0.038677778,-0.4999622,-0.4999621
313,0.03868148,0.54898334,0.45101666,0.03868148,-0.4999621,-0.49996197
314,0.038685184,0.54895,0.45104998,0.038685184,-0.49996197,-0.49996185
315,0.038690742,0.5489333,0.45106667,0.038690742,-0.49996185,-0.49996173
316,0.038696297,0.5489333,0.45106667,0.038696297,-0.49996173,-0.4999616
317,0.038705554,0.54891664,0.45108336,0.038705554,-0.4999616,-0.4999615
318,0.03872037,0.5489,0.4511,0.03872037,-0.4999615,-0.49996138
319,0.03872222,0.54885,0.45115,0.03872222,-0.49996138,-0.49996114
320,0.03872963,0.54885,0.45115,0.03872963,-0.49996114,-0.49996102
321,0.03872963,0.5488167,0.45118332,0.03872963,-0.49996102,-0.4999609
322,0.038731482,0.5487667,0.45123333,0.038731482,-0.4999609,-0.49996078
323,0.038737036,0.5487667,0.45123333,0.038737036,-0.49996078,-0.49996066
324,0.038742594,0.54875,0.45125002,0.038742594,-0.49996066,-0.49996054
325,0.03875185,0.54873335,0.45126665,0.03875185,-0.49996054,-0.49996042
326,0.038762964,0.54873335,0.45126665,0.038762964,-0.49996042,-0.4999603
327,0.038766667,0.54873335,0.45126665,0.038766667,-0.4999603,-0.49996018
328,0.03877037,0.54873335,0.45126665,0.03877037,-0.49996018,-0.49996006
329,0.03877222,0.54871666,0.45128334,0.03877222,-0.49996006,-0.49995995
330,0.038775925,0.54871666,0.45128334,0.038775925,-0.49995995,-0.49995983
331,0.03877963,0.54871666,0.45128334,0.03877963,-0.49995983,-0.4999597
332,0.038783334,0.54871666,0.45128334,0.038783334,-0.4999597,-0.4999596
333,0.038785186,0.54871666,0.45128334,0.038785186,-0.4999596,-0.49995947
334,0.03878889,0.54868335,0.45131665,0.03878889,-0.49995947,-0.49995935
335,0.03879074,0.54868335,0.45131665,0.03879074,-0.49995935,-0.49995923
336,0.038796294,0.54861665,0.45138335,0.038796294,-0.49995923,-0.4999591
337,0.038801853,0.5485833,0.45141667,0.038801853,-0.4999591,-0.499959
338,0.038807407,0.5485833,0.45141667,0.038807407,-0.499959,-0.49995887
339,0.03881296,0.5485833,0.45141667,0.03881296,-0.49995887,-0.49995875
340,0.038814817,0.54856664,0.45143336,0.038814817,-0.49995875,-0.49995863
341,0.03881852,0.54855,0.45145,0.03881852,-0.49995863,-0.49995852
