,FPR,FNR,TPR,"min(FPR,FNR)",min_constant,max_constant
132,0.071207404,0.94443333,0.05556667,0.071207404,-0.49998438,-0.49998426
133,0.07122407,0.94443333,0.05556667,0.07122407,-0.49998426,-0.49998415
134,0.07124815,0.9444,0.055599988,0.07124815,-0.49998415,-0.49998403
135,0.07127037,0.9444,0.055599988,0.07127037,-0.49998403,-0.4999839
136,0.07129074,0.9444,0.055599988,0.07129074,-0.4999839,-0.4999838
137,0.071301855,0.9443833,0.055616677,0.071301855,-0.4999838,-0.49998367
138,0.07131667,0.9443333,0.055666685,0.07131667,-0.49998367,-0.49998355
139,0.071333334,0.9443333,0.055666685,0.071333334,-0.49998355,-0.49998343
140,0.071342595,0.9443,0.055700004,0.071342595,-0.49998343,-0.4999833
141,0.07136111,0.9442833,0.055716693,0.07136111,-0.4999833,-0.4999832
142,0.07138518,0.9442833,0.055716693,0.07138518,-0.4999832,-0.49998307
143,0.07139074,0.9442833,0.055716693,0.07139074,-0.49998307,-0.49998295
144,0.0713963,0.9442667,0.055733323,0.0713963,-0.49998295,-0.49998283
145,0.07141852,0.9442667,0.055733323,0.07141852,-0.49998283,-0.4999827
146,0.071433336,0.9442667,0.055733323,0.071433336,-0.4999827,-0.4999826
147,0.071459256,0.94423336,0.055766642,0.071459256,-0.4999826,-0.49998248
148,0.071479626,0.9442,0.05580002,0.071479626,-0.49998248,-0.49998236
149,0.071494445,0.9442,0.05580002,0.071494445,-0.49998236,-0.49998224
150,0.0715,0.94415,0.05585003,0.0715,-0.49998224,-0.49998212
151,0.071514815,0.9441,0.055899978,0.071514815,-0.49998212,-0.499982
152,0.07152778,0.94406664,0.055933356,0.07152778,-0.499982,-0.49998188
153,0.071546294,0.94405,0.055949986,0.071546294,-0.49998188,-0.49998176
154,0.071570374,0.94405,0.055949986,0.071570374,-0.49998176,-0.49998164
155,0.071585186,0.94405,0.055949986,0.071585186,-0.49998164,-0.49998152
156,0.07160741,0.94405,0.055949986,0.07160741,-0.49998152,-0.4999814
157,0.07162407,0.94405,0.055949986,0.07162407,-0.4999814,-0.49998128
158,0.07164815,0.9439833,0.056016684,0.07164815,-0.49998128,-0.49998116
159,0.071661115,0.9439667,0.056033313,0.071661115,-0.49998116,-0.49998105
160,0.07168889,0.9439667,0.056033313,0.07168889,-0.49998105,-0.49998093
161,0.0717037,0.94395,0.056050003,0.0717037,-0.49998093,-0.4999808
162,0.071727775,0.9439167,0.05608332,0.071727775,-0.4999808,-0.4999807
163,0.07173889,0.94388336,0.05611664,0.07173889,-0.4999807,-0.49998057
164,0.071757406,0.94386667,0.05613333,0.071757406,-0.49998057,-0.49998045
165,0.07177963,0.94385,0.05615002,0.07177963,-0.49998045,-0.49998033
166,0.071792595,0.94385,0.05615002,0.071792595,-0.49998033,-0.4999802
167,0.071798146,0.94383335,0.05616665,0.071798146,-0.4999802,-0.4999801
168,0.07180926,0.94383335,0.05616665,0.07180926,-0.4999801,-0.49997997
169,0.07181667,0.94383335,0.05616665,0.07181667,-0.49997997,-0.49997985
170,0.07183148,0.94383335,0.05616665,0.07183148,-0.49997985,-0.49997973
171,0.07184444,0.9438,0.056200027,0.07184444,-0.49997973,-0.49997962
172,0.071853705,0.94375,0.056249976,0.071853705,-0.49997962,-0.4999795
173,0.07186852,0.94373333,0.056266665,0.07186852,-0.4999795,-0.49997938
174,0.071883336,0.94373333,0.056266665,0.071883336,-0.49997938,-0.49997926
175,0.07189815,0.94373333,0.056266665,0.07189815,-0.49997926,-0.49997914
176,0.07191667,0.94371665,0.056283355,0.07191667,-0.49997914,-0.49997902
177,0.07193334,0.9437,0.056299984,0.07193334,-0.49997902,-0.4999789
178,0.071944445,0.9437,0.056299984,0.071944445,-0.4999789,-0.49997878
179,0.071955554,0.9437,0.056299984,0.071955554,-0.49997878,-0.49997866
180,0.071964815,0.94366664,0.056333363,0.071964815,-0.49997866,-0.49997854
181,0.071975924,0.9436333,0.056366682,0.071975924,-0.49997854,-0.49997842
182,0.071985185,0.9436333,0.056366682,0.071985185,-0.49997842,-0.4999783
183,0.071994446,0.9436333,0.056366682,0.071994446,-0.4999783,-0.49997818
184,0.07200741,0.9436333,0.056366682,0.07200741,-0.49997818,-0.49997807
185,0.07201111,0.9436167,0.05638331,0.07201111,-0.49997807,-0.49997795
186,0.07202778,0.9436167,0.05638331,0.07202778,-0.49997795,-0.49997783
187,0.072040744,0.9436,0.0564,0.072040744,-0.49997783,-0.4999777
188,0.072055556,0.9436,0.0564,0.072055556,-0.4999777,-0.4999776
189,0.07205926,0.94355,0.05645001,0.07205926,-0.4999776,-0.49997747
190,0.072066665,0.94355,0.05645001,0.072066665,-0.49997747,-0.49997735
191,0.072075926,0.94353336,0.05646664,0.072075926,-0.49997735,-0.49997723
192,0.07208889,0.94353336,0.05646664,0.07208889,-0.49997723,-0.4999771
193,0.07209815,0.9435167,0.05648333,0.07209815,-0.4999771,-0.499977
194,0.07211111,0.94348335,0.056516647,0.07211111,-0.499977,-0.49997675
195,0.07212222,0.94348335,0.056516647,0.07212222,-0.49997675,-0.49997663
196,0.07212963,0.94348335,0.056516647,0.07212963,-0.49997663,-0.49997652
197,0.072151855,0.94346666,0.056533337,0.072151855,-0.49997652,-0.4999764
198,0.07217407,0.94346666,0.056533337,0.07217407,-0.4999764,-0.49997628
199,0.07218519,0.94345,0.056550026,0.07218519,-0.49997628,-0.49997616
200,0.07219444,0.94345,0.056550026,0.07219444,-0.49997616,-0.49997604
201,0.07220556,0.94343334,0.056566656,0.07220556,-0.49997604,-0.49997592
202,0.07221667,0.94343334,0.056566656,0.07221667,-0.49997592,-0.4999758
203,0.072233334,0.94341666,0.056583345,0.072233334,-0.4999758,-0.49997568
204,0.07225,0.9434,0.056599975,0.07225,-0.49997568,-0.49997556
205,0.07225741,0.94338334,0.056616664,0.07225741,-0.49997556,-0.49997544
206,0.07226667,0.94335,0.056649983,0.07226667,-0.49997544,-0.49997532
207,0.07228518,0.9433,0.05669999,0.07228518,-0.49997532,-0.4999752
208,0.07230185,0.9432667,0.05673331,0.07230185,-0.4999752,-0.4999751
209,0.072312966,0.9432333,0.05676669,0.072312966,-0.4999751,-0.49997497
210,0.07232592,0.9432,0.056800008,0.07232592,-0.49997497,-0.49997485
211,0.072333336,0.9432,0.056800008,0.072333336,-0.49997485,-0.49997473
212,0.07235185,0.9432,0.056800008,0.07235185,-0.49997473,-0.4999746
213,0.07236111,0.94318336,0.056816638,0.07236111,-0.4999746,-0.4999745
214,0.072364815,0.94318336,0.056816638,0.072364815,-0.4999745,-0.49997437
215,0.072374076,0.9431667,0.056833327,0.072374076,-0.49997437,-0.49997425
216,0.07238889,0.94315,0.056850016,0.07238889,-0.49997425,-0.49997413
217,0.07240185,0.94313335,0.056866646,0.07240185,-0.49997413,-0.499974
218,0.07241111,0.94313335,0.056866646,0.07241111,-0.499974,-0.4999739
219,0.07243148,0.94313335,0.056866646,0.07243148,-0.4999739,-0.49997377
220,0.07243889,0.94313335,0.056866646,0.07243889,-0.49997377,-0.49997365
221,0.07244815,0.9431,0.056900024,0.07244815,-0.49997365,-0.49997354
222,0.0724537,0.9431,0.056900024,0.0724537,-0.49997354,-0.49997342
223,0.072466664,0.94306666,0.056933343,0.072466664,-0.49997342,-0.4999733
224,0.07247037,0.94306666,0.056933343,0.07247037,-0.4999733,-0.49997318
225,0.072485186,0.94303334,0.056966662,0.072485186,-0.49997318,-0.49997306
226,0.07249259,0.94303334,0.056966662,0.07249259,-0.49997306,-0.49997294
